pais,sector,mes,salario_medio
de,Finance,2025-06,60720.83
de,Finance,2025-07,60378.43
de,Finance,2025-08,56653.43
de,Finance,2025-09,57828.32
de,Finance,2025-10,61521.47
de,Finance,2025-11,61466.38
de,Finance,2025-12,61123.69
de,Finance,2026-01,61381.78
de,Finance,2026-02,60358.03
de,Finance,2026-03,60108.2
de,Finance,2026-04,54555.95
de,Finance,2026-05,57483.08
de,IT,2025-06,64277.29
de,IT,2025-07,64351.5
de,IT,2025-08,63933.1
de,IT,2025-09,64645.89
de,IT,2025-10,37295.34
de,IT,2025-11,37781.51
de,IT,2025-12,33021.78
de,IT,2026-01,32388.03
de,IT,2026-02,41073.64
de,IT,2026-03,45176.24
de,IT,2026-04,43067.61
de,IT,2026-05,39462.58
de,Logistics,2025-06,31697.36
de,Logistics,2025-07,31806.9
de,Logistics,2025-08,31743.23
de,Logistics,2025-09,33009.13
de,Logistics,2025-10,33221.75
de,Logistics,2025-11,33260.24
de,Logistics,2025-12,36488.72
de,Logistics,2026-01,36457.04
de,Logistics,2026-02,37793.57
de,Logistics,2026-03,37381.23
de,Logistics,2026-04,37181.2
de,Logistics,2026-05,37422.8
de,Retail,2025-06,32189.79
de,Retail,2025-07,31309.75
de,Retail,2025-08,31434.82
de,Retail,2025-09,30858.89
de,Retail,2025-10,29618.0
de,Retail,2025-11,30526.79
de,Retail,2025-12,30047.92
de,Retail,2026-01,30143.83
de,Retail,2026-02,32177.85
de,Retail,2026-03,31839.98
de,Retail,2026-04,34286.21
de,Retail,2026-05,37978.4
es,Finance,2025-06,89911.69
es,Finance,2025-07,90746.4
es,Finance,2025-08,88685.87
es,Finance,2025-09,86831.94
es,Finance,2025-10,78593.57
es,Finance,2025-11,78658.44
es,Finance,2025-12,80544.02
es,Finance,2026-01,80784.41
es,Finance,2026-02,79591.28
es,Finance,2026-03,49523.46
es,Finance,2026-04,50031.23
es,Finance,2026-05,50620.68
es,IT,2025-06,83117.18
es,IT,2025-07,84843.87
es,IT,2025-08,84787.52
es,IT,2025-09,85546.96
es,IT,2025-10,85169.46
es,IT,2025-11,84616.1
es,IT,2025-12,85669.39
es,IT,2026-01,85226.66
es,IT,2026-02,82881.07
es,IT,2026-03,45262.46
es,IT,2026-04,47317.14
es,IT,2026-05,46960.8
es,Logistics,2025-06,21165.3
es,Logistics,2025-07,21198.03
es,Logistics,2025-08,21474.53
es,Logistics,2025-09,21582.82
es,Logistics,2025-10,26380.26
es,Logistics,2025-11,23573.6
es,Logistics,2025-12,22466.54
es,Logistics,2026-01,22025.61
es,Logistics,2026-02,22737.83
es,Logistics,2026-03,22623.06
es,Logistics,2026-04,23152.71
es,Logistics,2026-05,23103.3
es,Retail,2025-06,39937.53
es,Retail,2025-07,44776.47
es,Retail,2025-08,49000.83
es,Retail,2025-09,50817.36
es,Retail,2025-10,52687.58
es,Retail,2025-11,50408.66
es,Retail,2025-12,51768.18
es,Retail,2026-01,45196.72
es,Retail,2026-02,39770.98
es,Retail,2026-03,42224.12
es,Retail,2026-04,42255.09
es,Retail,2026-05,42179.78
fr,Finance,2025-06,38755.3
fr,Finance,2025-07,38828.28
fr,Finance,2025-08,39119.92
fr,Finance,2025-09,39099.16
fr,Finance,2025-10,39049.83
fr,Finance,2025-11,39323.53
fr,Finance,2025-12,38993.77
fr,Finance,2026-01,39430.99
fr,Finance,2026-02,39238.41
fr,Finance,2026-03,39279.3
fr,Finance,2026-04,39208.13
fr,Finance,2026-05,39226.36
fr,IT,2025-06,42395.7
fr,IT,2025-07,42620.15
fr,IT,2025-08,42360.28
fr,IT,2025-09,43487.31
fr,IT,2025-10,43718.57
fr,IT,2025-11,43230.09
fr,IT,2025-12,42470.79
fr,IT,2026-01,42657.85
fr,IT,2026-02,42848.89
fr,IT,2026-03,43362.65
fr,IT,2026-04,43334.99
fr,IT,2026-05,43492.04
fr,Logistics,2025-06,24657.1
fr,Logistics,2025-07,24913.32
fr,Logistics,2025-08,24742.92
fr,Logistics,2025-09,25114.65
fr,Logistics,2025-10,25254.89
fr,Logistics,2025-11,25541.82
fr,Logistics,2025-12,25824.0
fr,Logistics,2026-01,30292.71
fr,Logistics,2026-02,33296.29
fr,Logistics,2026-03,31648.66
fr,Logistics,2026-04,31723.08
fr,Logistics,2026-05,32634.41
fr,Retail,2025-06,41707.14
fr,Retail,2025-07,43843.58
fr,Retail,2025-08,41116.13
fr,Retail,2025-09,40926.13
fr,Retail,2025-10,41832.36
fr,Retail,2025-11,37898.93
fr,Retail,2025-12,38835.03
fr,Retail,2026-01,38087.72
fr,Retail,2026-02,43617.25
fr,Retail,2026-03,42699.64
fr,Retail,2026-04,36281.24
fr,Retail,2026-05,36856.72
gb,Finance,2025-06,56614.37
gb,Finance,2025-07,56047.99
gb,Finance,2025-08,56641.19
gb,Finance,2025-09,56574.55
gb,Finance,2025-10,57213.7
gb,Finance,2025-11,57097.31
gb,Finance,2025-12,57691.15
gb,Finance,2026-01,58067.05
gb,Finance,2026-02,58332.64
gb,Finance,2026-03,58247.47
gb,Finance,2026-04,57786.25
gb,Finance,2026-05,57730.29
gb,IT,2025-06,68747.38
gb,IT,2025-07,69483.85
gb,IT,2025-08,69474.97
gb,IT,2025-09,70191.11
gb,IT,2025-10,71739.97
gb,IT,2025-11,71273.79
gb,IT,2025-12,72754.54
gb,IT,2026-01,72704.11
gb,IT,2026-02,74788.43
gb,IT,2026-03,75886.58
gb,IT,2026-04,75829.35
gb,IT,2026-05,76391.06
gb,Logistics,2025-06,40264.91
gb,Logistics,2025-07,40098.24
gb,Logistics,2025-08,40808.98
gb,Logistics,2025-09,41624.77
gb,Logistics,2025-10,41605.28
gb,Logistics,2025-11,41468.29
gb,Logistics,2025-12,41408.39
gb,Logistics,2026-01,39848.13
gb,Logistics,2026-02,39387.33
gb,Logistics,2026-03,39583.18
gb,Logistics,2026-04,40092.86
gb,Logistics,2026-05,40342.17
gb,Retail,2025-06,39059.21
gb,Retail,2025-07,39364.39
gb,Retail,2025-08,39272.21
gb,Retail,2025-09,38556.89
gb,Retail,2025-10,37962.21
gb,Retail,2025-11,39985.11
gb,Retail,2025-12,41703.15
gb,Retail,2026-01,41323.1
gb,Retail,2026-02,41505.82
gb,Retail,2026-03,40926.04
gb,Retail,2026-04,41158.23
gb,Retail,2026-05,40846.59
nl,Finance,2025-06,44561.83
nl,Finance,2025-07,48272.67
nl,Finance,2025-08,48248.23
nl,Finance,2025-09,50972.94
nl,Finance,2025-10,51041.87
nl,Finance,2025-11,51391.06
nl,Finance,2025-12,50952.06
nl,Finance,2026-01,49719.91
nl,Finance,2026-02,50053.8
nl,Finance,2026-03,51492.25
nl,Finance,2026-04,52340.14
nl,Finance,2026-05,51237.92
nl,IT,2025-06,53738.43
nl,IT,2025-07,49923.6
nl,IT,2025-08,50932.9
nl,IT,2025-09,54331.26
nl,IT,2025-10,55811.26
nl,IT,2025-11,52665.48
nl,IT,2025-12,52057.13
nl,IT,2026-01,53604.52
nl,IT,2026-02,53865.44
nl,IT,2026-03,54053.09
nl,IT,2026-04,54211.95
nl,IT,2026-05,53894.74
nl,Logistics,2025-06,36912.86
nl,Logistics,2025-07,37545.36
nl,Logistics,2025-08,38253.99
nl,Logistics,2025-09,39038.26
nl,Logistics,2025-10,39855.31
nl,Logistics,2025-11,39695.99
nl,Logistics,2025-12,40127.55
nl,Logistics,2026-01,41108.26
nl,Logistics,2026-02,40206.85
nl,Logistics,2026-03,40821.43
nl,Logistics,2026-04,40565.04
nl,Logistics,2026-05,40036.5
nl,Retail,2025-06,32475.42
nl,Retail,2025-07,33127.77
nl,Retail,2025-08,33359.85
nl,Retail,2025-09,34336.05
nl,Retail,2025-10,32712.9
nl,Retail,2025-11,34049.42
nl,Retail,2025-12,33056.76
nl,Retail,2026-01,34220.51
nl,Retail,2026-02,38585.89
nl,Retail,2026-03,39395.84
nl,Retail,2026-04,42026.6
nl,Retail,2026-05,42306.16
us,Finance,2025-06,85075.13
us,Finance,2025-07,85257.61
us,Finance,2025-08,84966.27
us,Finance,2025-09,83144.2
us,Finance,2025-10,81688.37
us,Finance,2025-11,84082.2
us,Finance,2025-12,92107.75
us,Finance,2026-01,86887.36
us,Finance,2026-02,85055.4
us,Finance,2026-03,85448.01
us,Finance,2026-04,87025.87
us,Finance,2026-05,88592.41
us,IT,2025-06,110602.66
us,IT,2025-07,115103.0
us,IT,2025-08,115957.31
us,IT,2025-09,114337.4
us,IT,2025-10,111172.19
us,IT,2025-11,113958.01
us,IT,2025-12,118271.68
us,IT,2026-01,116246.45
us,IT,2026-02,113549.64
us,IT,2026-03,114411.79
us,IT,2026-04,117162.64
us,IT,2026-05,119011.05
us,Logistics,2025-06,46733.1
us,Logistics,2025-07,51444.69
us,Logistics,2025-08,47479.76
us,Logistics,2025-09,68275.0
us,Logistics,2025-10,90930.42
us,Logistics,2025-11,124732.15
us,Logistics,2025-12,131130.31
us,Logistics,2026-01,158185.44
us,Logistics,2026-02,186541.04
us,Logistics,2026-03,87100.69
us,Logistics,2026-04,75321.51
us,Logistics,2026-05,78959.36
us,Retail,2025-06,37813.85
us,Retail,2025-07,37453.34
us,Retail,2025-08,39340.37
us,Retail,2025-09,38801.06
us,Retail,2025-10,37969.44
us,Retail,2025-11,35169.82
us,Retail,2025-12,39964.33
us,Retail,2026-01,41432.99
us,Retail,2026-02,47324.58
us,Retail,2026-03,48060.31
us,Retail,2026-04,45099.47
us,Retail,2026-05,47354.13
