pais,categoria,mes,salario_medio
es,it-jobs,2026-02,82881.07
es,it-jobs,2025-10,85169.46
es,it-jobs,2025-06,83117.18
es,it-jobs,2026-01,85226.66
es,it-jobs,2025-08,84787.52
es,it-jobs,2025-12,85669.39
es,it-jobs,2025-11,84616.1
es,it-jobs,2026-04,47317.14
es,it-jobs,2025-07,84843.87
es,it-jobs,2026-05,46960.8
es,it-jobs,2025-09,85546.96
es,it-jobs,2026-03,45262.46
es,accounting-finance-jobs,2025-08,88685.87
es,accounting-finance-jobs,2025-07,90746.4
es,accounting-finance-jobs,2026-04,50031.23
es,accounting-finance-jobs,2026-03,49523.46
es,accounting-finance-jobs,2025-09,86831.94
es,accounting-finance-jobs,2025-12,80544.02
es,accounting-finance-jobs,2026-02,79591.28
es,accounting-finance-jobs,2026-01,80784.41
es,accounting-finance-jobs,2026-05,50620.68
es,accounting-finance-jobs,2025-06,89911.69
es,accounting-finance-jobs,2025-10,78593.57
es,accounting-finance-jobs,2025-11,78658.44
es,retail-jobs,2025-09,50817.36
es,retail-jobs,2026-03,42224.12
es,retail-jobs,2025-11,50408.66
es,retail-jobs,2026-04,42255.09
es,retail-jobs,2025-07,44776.47
es,retail-jobs,2026-05,42179.78
es,retail-jobs,2025-08,49000.83
es,retail-jobs,2025-12,51768.18
es,retail-jobs,2026-02,39770.98
es,retail-jobs,2025-10,52687.58
es,retail-jobs,2025-06,39937.53
es,retail-jobs,2026-01,45196.72
es,logistics-warehouse-jobs,2026-05,23103.3
es,logistics-warehouse-jobs,2026-04,23152.71
es,logistics-warehouse-jobs,2025-07,21198.03
es,logistics-warehouse-jobs,2025-11,23573.6
es,logistics-warehouse-jobs,2026-03,22623.06
es,logistics-warehouse-jobs,2025-09,21582.82
es,logistics-warehouse-jobs,2025-06,21165.3
es,logistics-warehouse-jobs,2026-01,22025.61
es,logistics-warehouse-jobs,2025-10,26380.26
es,logistics-warehouse-jobs,2026-02,22737.83
es,logistics-warehouse-jobs,2025-12,22466.54
es,logistics-warehouse-jobs,2025-08,21474.53
gb,it-jobs,2025-06,59377.11
gb,it-jobs,2026-01,62794.54
gb,it-jobs,2026-05,65978.96
gb,it-jobs,2026-02,64594.77
gb,it-jobs,2025-11,61559.17
gb,it-jobs,2025-10,61961.81
gb,it-jobs,2026-03,65543.24
gb,it-jobs,2026-04,65493.81
gb,it-jobs,2025-07,60013.2
gb,it-jobs,2025-08,60005.53
gb,it-jobs,2025-09,60624.06
gb,it-jobs,2025-12,62838.1
gb,accounting-finance-jobs,2026-03,50308.34
gb,accounting-finance-jobs,2025-07,48408.65
gb,accounting-finance-jobs,2025-10,49415.47
gb,accounting-finance-jobs,2026-02,50381.9
gb,accounting-finance-jobs,2026-01,50152.51
gb,accounting-finance-jobs,2025-08,48921.0
gb,accounting-finance-jobs,2025-11,49314.95
gb,accounting-finance-jobs,2025-06,48897.83
gb,accounting-finance-jobs,2025-12,49827.85
gb,accounting-finance-jobs,2026-05,49861.65
gb,accounting-finance-jobs,2025-09,48863.44
gb,accounting-finance-jobs,2026-04,49909.98
gb,retail-jobs,2026-02,35848.58
gb,retail-jobs,2025-07,33999.02
gb,retail-jobs,2025-06,33735.44
gb,retail-jobs,2026-01,35690.76
gb,retail-jobs,2026-04,35548.36
gb,retail-jobs,2025-10,32787.96
gb,retail-jobs,2026-05,35279.2
gb,retail-jobs,2025-12,36019.01
gb,retail-jobs,2025-08,33919.41
gb,retail-jobs,2026-03,35347.82
gb,retail-jobs,2025-11,34535.14
gb,retail-jobs,2025-09,33301.59
gb,logistics-warehouse-jobs,2025-11,35816.16
gb,logistics-warehouse-jobs,2026-05,34843.53
gb,logistics-warehouse-jobs,2025-07,34632.85
gb,logistics-warehouse-jobs,2026-04,34628.2
gb,logistics-warehouse-jobs,2026-03,34187.99
gb,logistics-warehouse-jobs,2025-09,35951.31
gb,logistics-warehouse-jobs,2025-10,35934.48
gb,logistics-warehouse-jobs,2026-02,34018.84
gb,logistics-warehouse-jobs,2026-01,34416.83
gb,logistics-warehouse-jobs,2025-06,34776.8
gb,logistics-warehouse-jobs,2025-08,35246.72
gb,logistics-warehouse-jobs,2025-12,35764.43
fr,it-jobs,2026-04,43334.99
fr,it-jobs,2025-09,43487.31
fr,it-jobs,2025-12,42470.79
fr,it-jobs,2026-05,43492.04
fr,it-jobs,2025-08,42360.28
fr,it-jobs,2026-01,42657.85
fr,it-jobs,2025-10,43718.57
fr,it-jobs,2026-02,42848.89
fr,it-jobs,2025-07,42620.15
fr,it-jobs,2026-03,43362.65
fr,it-jobs,2025-06,42395.7
fr,it-jobs,2025-11,43230.09
fr,accounting-finance-jobs,2025-12,38993.77
fr,accounting-finance-jobs,2025-09,39099.16
fr,accounting-finance-jobs,2025-08,39119.92
fr,accounting-finance-jobs,2026-03,39279.3
fr,accounting-finance-jobs,2025-07,38828.28
fr,accounting-finance-jobs,2026-04,39208.13
fr,accounting-finance-jobs,2025-11,39323.53
fr,accounting-finance-jobs,2025-10,39049.83
fr,accounting-finance-jobs,2026-01,39430.99
fr,accounting-finance-jobs,2026-05,39226.36
fr,accounting-finance-jobs,2026-02,39238.41
fr,accounting-finance-jobs,2025-06,38755.3
fr,retail-jobs,2025-09,40926.13
fr,retail-jobs,2026-03,42699.64
fr,retail-jobs,2026-04,36281.24
fr,retail-jobs,2025-07,43843.58
fr,retail-jobs,2026-05,36856.72
fr,retail-jobs,2025-11,37898.93
fr,retail-jobs,2025-12,38835.03
fr,retail-jobs,2025-08,41116.13
fr,retail-jobs,2025-06,41707.14
fr,retail-jobs,2026-01,38087.72
fr,retail-jobs,2026-02,43617.25
fr,retail-jobs,2025-10,41832.36
fr,logistics-warehouse-jobs,2025-09,25114.65
fr,logistics-warehouse-jobs,2026-03,31648.66
fr,logistics-warehouse-jobs,2026-04,31723.08
fr,logistics-warehouse-jobs,2025-07,24913.32
fr,logistics-warehouse-jobs,2026-05,32634.41
fr,logistics-warehouse-jobs,2025-11,25541.82
fr,logistics-warehouse-jobs,2025-12,25824.0
fr,logistics-warehouse-jobs,2025-08,24742.92
fr,logistics-warehouse-jobs,2026-01,30292.71
fr,logistics-warehouse-jobs,2025-06,24657.1
